Bug#,UnreducedTarantula,ReducedTarantula,UnreducedSBI,ReducedSBI,UnreducedOchaia,ReducedOchaia,UnreducedJaccard,ReducedJaccard,UnreducedAmple,ReducedAmple
60,108,91,108,91,108,91,108,91,108,91
880,674,64,674,64,5802,5426,493,72,403,64
95,4792,2256,4792,2256,3750,2216,4389,2252,4681,2449
1543,196,103,231,103,87,86,77,77,77,77
1294,129,78,129,77,17,17,17,17,17,17
1172,183,100,183,90,5,5,5,5,4,5
1873,7741,5077,7742,5077,5555,4949,5746,4959,5746,4959
1561,3,2,3,2,2,2,2,2,2,2
1222,,,,,,,,,,
115,,,,,,,,,,
